,model,prompt_version,criterial_score,embedding_cosine_distance,score
,,,mean,mean,mean
5,gpt_4o_mini,v3_summary_expert,0.6378378378378379,0.0949041795232412,8.616216216216216
4,finetune_qlora_unsloth_llama_3_1_8B_Instruct_bnb_4bit_v3_Q8_0,v3_summary_expert,0.34594594594594597,0.15164210423819177,6.345945945945946
2,finetune_qlora_unsloth_llama_3_1_8B_Instruct_bnb_4bit_v2_Q8_0,v3_summary_expert,0.42702702702702705,0.15093914388517707,6.108108108108108
3,finetune_qlora_unsloth_llama_3_1_8B_Instruct_bnb_4bit_v3_Q4_k_m,v3_summary_expert,0.3081081081081081,0.16404454855974251,5.5675675675675675
1,finetune_qlora_unsloth_llama_3_1_8B_Instruct_bnb_4bit_v2_Q4_k_m,v3_summary_expert,0.32972972972972975,0.17007413762506138,5.562162162162162
10,phi4_latest,v1_summary_expert_one_shot,0.2,0.17796953531973136,5.4972972972972975
11,phi4_latest,v3_summary_expert,0.20540540540540542,0.18829331432259866,4.891891891891892
6,llama3_1_8b_instruct_fp16,v1_summary_expert_one_shot,0.0972972972972973,0.19560648734884553,4.6
0,finetune_qlora_litgpt_llama_3_2_3b_bnb_nf4_v2_q8_0,v3_summary_expert,0.15135135135135136,0.21066918671085896,3.616216216216216
8,llama3_2_3b_instruct_fp16,v1_summary_expert_one_shot,0.032432432432432434,0.21974655823021266,3.4108108108108106
7,llama3_1_8b_instruct_fp16,v3_summary_expert,0.05945945945945946,0.34456661931565186,3.1297297297297297
9,llama3_2_3b_instruct_fp16,v3_summary_expert,0.032432432432432434,0.4123292693991777,2.2756756756756755
