,model,prompt_version,criterial_score,embedding_cosine_distance,score
,,,mean,mean,mean
5,gpt_4o_mini,v3_summary_expert,0.6455696202531646,0.09029057232991057,8.683544303797468
4,finetune_qlora_unsloth_llama_3_1_8B_Instruct_bnb_4bit_v3_Q8_0,v3_summary_expert,0.34810126582278483,0.14606417335394883,6.569620253164557
2,finetune_qlora_unsloth_llama_3_1_8B_Instruct_bnb_4bit_v2_Q8_0,v3_summary_expert,0.46835443037974683,0.144578565372476,6.39873417721519
1,finetune_qlora_unsloth_llama_3_1_8B_Instruct_bnb_4bit_v2_Q4_k_m,v3_summary_expert,0.3670886075949367,0.16413602748453218,5.860759493670886
3,finetune_qlora_unsloth_llama_3_1_8B_Instruct_bnb_4bit_v3_Q4_k_m,v3_summary_expert,0.33544303797468356,0.15791858671586112,5.810126582278481
10,phi4_latest,v1_summary_expert_one_shot,0.23417721518987342,0.17344874002779587,5.7405063291139244
11,phi4_latest,v3_summary_expert,0.23417721518987342,0.17800674612079234,5.177215189873418
6,llama3_1_8b_instruct_fp16,v1_summary_expert_one_shot,0.11392405063291139,0.18963545453802472,4.822784810126582
0,finetune_qlora_litgpt_llama_3_2_3b_bnb_nf4_v2_q8_0,v3_summary_expert,0.16455696202531644,0.20303420887547746,3.8797468354430378
8,llama3_2_3b_instruct_fp16,v1_summary_expert_one_shot,0.0379746835443038,0.21462780520122393,3.569620253164557
7,llama3_1_8b_instruct_fp16,v3_summary_expert,0.06962025316455696,0.31412052396988,3.3734177215189876
9,llama3_2_3b_instruct_fp16,v3_summary_expert,0.0379746835443038,0.40816784661572775,2.449367088607595
